Name,Emoji,Kategorie,Preis (Euro),Einheit,Kalorien (kcal/100g),Protein (g/100g),Kohlenhydrate (g/100g),Fett (g/100g)
"Bohnenkraut","🫙","Gewürze","0.79","15g","272","7","69","6"
"Estragon getrocknet","🫙","Gewürze","0.99","15g","295","23","50","7"
"Dill getrocknet","🫙","Gewürze","0.79","15g","253","20","55","4.5"
"Ingwerpulver","🫙","Gewürze","0.99","50g","335","9","72","4.2"
"Kurkumapulver","🫙","Gewürze","0.99","50g","354","8","65","10"
"Ras el Hanout","🫙","Gewürze","1.49","50g","300","10","55","10"
"Sumach","🫙","Gewürze","1.99","50g","239","4","72","0.5"
"Safran","🫙","Gewürze","2.99","0,1g","310","11","65","6"
"Vanilleschoten","🫙","Gewürze","2.99","2 Stück","288","4","50","2"
"Tahini","🫙","Gewürze","2.99","250g","595","17","21","54"
"Wasabi","🫙","Gewürze","1.49","43g","109","4.8","24","0.6"
"Meerrettich Glas","🫙","Gewürze","1.29","150g","62","1.5","13","0.4"
"Olivenöl","🫙","Öle","3.99","500ml","884","0","0","100"
"Olivenöl extra virgin","🫙","Öle","5.99","500ml","884","0","0","100"
"Rapsöl","🫙","Öle","2.49","1L","884","0","0","100"
"Sonnenblumenöl","🫙","Öle","1.99","1L","884","0","0","100"
"Kokosöl","🫙","Öle","4.99","500ml","862","0","0","100"
"Sesamöl","🫙","Öle","2.99","250ml","884","0","0","100"
"Walnussöl","🫙","Öle","4.99","250ml","884","0","0","100"
"Leinöl","🫙","Öle","3.99","250ml","884","0","0","100"
"Erdnussöl","🫙","Öle","2.99","500ml","884","0","0","100"
"Stilles Wasser","💧","Getränke","0.29","1,5L","0","0","0","0"
"Mineralwasser","💧","Getränke","0.49","1,5L","0","0","0","0"
"Apfelsaft","🧃","Getränke","1.29","1L","46","0.1","11","0.2"
"Orangensaft","🧃","Getränke","1.49","1L","45","0.7","10","0.2"
"Multivitaminsaft","🧃","Getränke","1.49","1L","50","0.5","12","0.1"
"Traubensaft","🧃","Getränke","1.49","1L","60","0.3","15","0.1"
"Tomatensaft","🧃","Getränke","0.99","1L","17","0.8","3","0.1"
"Kaffee gemahlen","☕","Getränke","4.99","500g","330","12","26","2"
"Kaffeebohnen","☕","Getränke","6.99","500g","330","12","26","2"
"Instant Kaffee","☕","Getränke","3.99","200g","330","12","26","2"
"Schwarzer Tee","🍵","Getränke","1.49","Packung","2","0","0.4","0"
"Grüner Tee","🍵","Getränke","1.99","Packung","2","0","0.3","0"
"Kräutertee","🍵","Getränke","1.49","Packung","1","0","0.2","0"
"Früchtetee","🍵","Getränke","1.49","Packung","1","0","0.2","0"
"Ingwertee","🍵","Getränke","1.99","Packung","1","0","0.2","0"
"Pils","🍺","Getränke","4.99","6er Pack","43","0.5","3.7","0"
"Weizenbier","🍺","Getränke","5.99","6er Pack","45","0.5","4.1","0"
"Radler","🍺","Getränke","4.99","6er Pack","29","0.3","6","0"
"Rotwein","🍷","Getränke","4.99","Flasche","85","0.1","2.6","0"
"Weißwein","🥂","Getränke","4.99","Flasche","72","0.1","1.5","0"
"Rosé Wein","🍷","Getränke","4.99","Flasche","70","0.1","2","0"
"Sekt","🥂","Getränke","3.99","Flasche","70","0.3","3.8","0"
"Prosecco","🥂","Getränke","4.99","Flasche","68","0.2","2.8","0"
"Cola","🥤","Getränke","1.69","2L","42","0","11","0"
"Fanta","🥤","Getränke","1.69","2L","42","0","10","0"
"Sprite","🥤","Getränke","1.69","2L","41","0","10","0"
"Limonade","🥤","Getränke","0.99","1L","42","0","10","0"
"Energy Drink","🥤","Getränke","0.99","Dose","45","0.5","11","0"
"Eistee","🥤","Getränke","1.29","1,5L","28","0","7","0"
"Kokoswasser","🥥","Getränke","1.79","330ml","19","0.7","4","0.2"
"Kakao Getränk","🥛","Getränke","1.49","500ml","68","3.2","9.8","2.1"
"Sportgetränk","🥤","Getränke","1.29","500ml","25","0.2","6.2","0"
"Nuss-Nougat-Creme","🍫","Süßes","2.49","400g","541","6","57","34"
"Marmelade Erdbeere","🍓","Süßes","1.29","450g","250","0.4","62","0.1"
"Marmelade Aprikose","🍑","Süßes","1.29","450g","257","0.4","64","0.1"
"Kirschmarmelade","🍒","Süßes","1.29","450g","250","0.4","62","0.1"
"Chips Paprika","🥔","Süßes","1.49","200g","531","6.5","54","33"
"Chips Salz","🥔","Süßes","1.49","200g","536","7","52","34"
"Chips Sour Cream","🥔","Süßes","1.49","200g","527","6.5","55","32"
"Popcorn Kino","🍿","Süßes","1.49","150g","387","8","74","9"
"Gummibärchen","🍬","Süßes","0.99","200g","343","6.9","77","0.5"
"Schokolade Riegel","🍫","Süßes","0.69","Stück","490","5","63","24"
"Müsliriegel","🍫","Süßes","0.99","Stück","390","5","65","12"
"Kekse","🍪","Süßes","1.29","200g","465","6.5","66","20"
"Prinzenrolle","🍪","Süßes","1.09","Packung","473","5.5","69","21"
"Waffeln","🧇","Süßes","0.79","Packung","465","6.5","70","20"
"Cracker","🍘","Süßes","0.99","200g","421","8.5","72","12"
"Reiswaffeln","🍘","Süßes","1.29","100g","385","7","81","2.5"
"Eis Vanille","🍨","Süßes","1.99","500ml","207","3.5","24","11"
"Eis Schokolade","🍫","Süßes","1.99","500ml","216","3.8","27","11"
"Götterspeise","🍮","Süßes","0.39","Packung","325","7.5","78","0"
"Pudding","🍮","Süßes","0.49","Packung","112","3.5","19","2.8"
"Geschälte Tomaten","🍅","Konserven","0.79","400g","18","0.9","3.5","0.2"
"Tomaten gewürfelt","🍅","Konserven","0.79","400g","18","0.9","3.5","0.2"
"Mais Dose","🌽","Konserven","0.79","425ml","86","3.3","18","1.4"
"Erbsen Dose","🫘","Konserven","0.79","425ml","81","5.4","12","0.4"
"Bohnen Dose","🫘","Konserven","0.79","425ml","100","7","15","0.5"
"Kichererbsen Dose","🫘","Konserven","0.99","400g","121","7","18","2.5"
"Linsen Dose","🫘","Konserven","0.89","400g","100","7","16","0.4"
"Sardinen Dose","🐟","Konserven","1.29","120g","208","25","0","12"
"Thunfisch Dose","🐠","Konserven","1.49","185g","116","25","0","1"
"Fertigpizza","🍕","Konserven","2.49","Stück","230","9","30","8.5"
"Ravioli Dose","🍝","Konserven","1.29","400g","96","4.5","15","2.5"
"Suppe Dose","🥫","Konserven","1.49","400g","50","2","7","1.5"
"Ananas Dose","🍍","Konserven","0.99","565g","60","0.4","15","0.1"
"Pfirsich Dose","🍑","Konserven","0.99","480g","75","0.5","19","0.1"
"Mandarin Dose","🍊","Konserven","0.89","314ml","52","0.8","12","0.1"
"Kokosmilch Dose","🥥","Konserven","1.29","400ml","154","1.4","3.4","16"
"TK Erbsen","🫘","Tiefkühl","1.49","750g","81","5.4","12","0.4"
"TK Spinat","🥬","Tiefkühl","1.49","750g","20","2.9","1.4","0.4"
"TK Brokkoli","🥦","Tiefkühl","1.49","750g","34","2.8","4","0.4"
"TK Blumenkohl","🥦","Tiefkühl","1.49","750g","25","1.9","3.8","0.3"
"TK Erbsen-Möhren","🥕","Tiefkühl","1.49","750g","50","3","9","0.3"
"TK Beerenmix","🫐","Tiefkühl","2.49","750g","47","0.8","11","0.4"
"TK Erdbeeren","🍓","Tiefkühl","2.49","750g","32","0.7","7.6","0.3"
"TK Himbeeren","🫐","Tiefkühl","2.49","500g","52","1.2","11","0.7"
"TK Mango","🥭","Tiefkühl","2.99","500g","60","0.8","15","0.4"
"TK Garnelen","🦐","Tiefkühl","5.99","500g","71","15","0","1"
"TK Fischfilet","🐟","Tiefkühl","3.99","500g","90","19","0","1.5"
"TK Hähnchenbrust","🍗","Tiefkühl","5.99","1kg","110","23","0","1.5"
"TK Pommes","🍟","Tiefkühl","1.99","1kg","170","2.5","26","7"
"TK Pizza","🍕","Tiefkühl","2.99","Stück","240","9","32","9"
"Toilettenpapier","🧻","Haushalt","2.99","8 Rollen","","","",""
"Küchenrolle","🧻","Haushalt","1.49","4 Rollen","","","",""
"Spülmittel","🧴","Haushalt","1.19","500ml","","","",""
"Geschirrspülmittel","🧴","Haushalt","3.99","Packung","","","",""
"Spülmaschinentabs","🧴","Haushalt","4.99","40 St.","","","",""
"Waschmittel","🧺","Haushalt","5.99","Packung","","","",""
"Weichspüler","🧺","Haushalt","2.99","1L","","","",""
"Müllbeutel","🗑️","Haushalt","1.99","20 St.","","","",""
"Frischhaltefolie","🧻","Haushalt","1.49","Rolle","","","",""
"Backpapier","🧻","Haushalt","1.49","Rolle","","","",""
"Alufolie","🧻","Haushalt","1.29","Rolle","","","",""
"Schwämme","🧽","Haushalt","0.99","3 St.","","","",""
"Allzweckreiniger","🧴","Haushalt","1.99","750ml","","","",""
"Shampoo","🧴","Hygiene","2.49","300ml","","","",""
"Duschgel","🧴","Hygiene","1.99","300ml","","","",""
"Zahnpasta","🪥","Hygiene","1.49","75ml","","","",""
"Zahnbürste","🪥","Hygiene","1.99","Stück","","","",""
"Seife","🧼","Hygiene","0.99","Stück","","","",""
"Flüssigseife","🧴","Hygiene","1.49","500ml","","","",""
"Deodorant","🧴","Hygiene","2.49","Stück","","","",""
"Rasierer","🪒","Hygiene","2.99","Stück","","","",""
"Taschentücher","🤧","Hygiene","1.29","Packung","","","",""
"Feuchttücher","🧻","Hygiene","1.99","Packung","","","",""
"Sonnencreme","🧴","Hygiene","4.99","200ml","","","",""
"Damen Hygieneartikel","🩸","Hygiene","2.49","Packung","","","",""
"Jagdwurst","🥩","Fleisch","1.49","200g","290","13","2","27"
"Frühstücksspeck","🥓","Fleisch","2.49","150g","480","20","0.5","44"
"Putensalami","🥩","Fleisch","1.99","200g","200","20","1.5","14"
"Hähnchensalami","🥩","Fleisch","1.99","200g","190","19","1.5","13"
"Kabanossi","🌭","Fleisch","2.49","200g","445","22","1","40"
"Cervelat","🥩","Fleisch","1.99","200g","380","17","1.5","35"
"Landjäger","🥩","Fleisch","1.49","100g","440","22","1","39"
"Wiener Schnitzel","🥩","Fleisch","7.99","500g","235","22","12","11"
"Frikadellen","🥩","Fleisch","3.99","4 Stück","240","16","10","15"
"Bouletten","🥩","Fleisch","3.99","4 Stück","240","16","10","15"
"Lachsschinken","🥩","Fleisch","2.99","100g","130","22","0","5"
"Nürnberger Brat","🌭","Fleisch","3.49","300g","340","14","3","31"
"Krakauer","🌭","Fleisch","2.49","400g","280","13","2","25"
"Bockwurst","🌭","Fleisch","1.99","250g","290","12","2","27"
"Fischstäbchen","🐟","Fisch","2.99","400g","196","12","17","8.5"
"Aal geräuchert","🐍","Fisch","7.99","200g","330","19","0","28"
"Rollmops","🐟","Fisch","1.99","2 Stück","170","17","3.5","10"
"Matjeshering","🐟","Fisch","2.99","400g","228","18","0.3","17"
"Fischsauce","🫙","Fisch","1.99","200ml","35","5","4","0.1"
"Anchovis","🐟","Fisch","1.99","100g","210","29","0","10"
"Kaviar","🐟","Fisch","5.99","50g","264","25","4","18"
"Zuckerrübe","🥗","Gemüse","1.29","500g","40","1.2","9","0.1"
"Yams","🍠","Gemüse","2.49","1kg","118","1.5","28","0.2"
"Taro","🥔","Gemüse","1.99","500g","112","1.5","26","0.2"
"Cassava","🥔","Gemüse","1.99","500g","160","1.4","38","0.3"
"Okraschoten","🥗","Gemüse","2.49","500g","33","2","7.4","0.2"
"Bittermelone","🥒","Gemüse","1.99","Stück","17","1","3.7","0.2"
"Lotuswurzel","🥗","Gemüse","2.99","300g","74","2.6","17","0.1"
"Bambussprossen","🌿","Gemüse","0.99","Dose","27","2.6","3.9","0.3"
"Wasserchestnut","🥗","Gemüse","1.29","Dose","97","2","24","0.1"
"Batate","🍠","Gemüse","1.99","1kg","86","1.6","20","0.1"
"Spitzkohl","🥬","Gemüse","0.99","Stück","24","1.3","4.5","0.2"
"Grüne Paprika","🫑","Gemüse","0.69","Stück","20","0.9","3.7","0.2"
"Jalapeño","🌶️","Gemüse","0.99","100g","29","0.9","5.9","0.4"
"Chilis rot","🌶️","Gemüse","0.79","100g","40","1.9","8.8","0.4"
"Habanero","🌶️","Gemüse","1.29","100g","40","1.9","8.8","0.4"
"Padronpaprika","🫑","Gemüse","1.99","200g","26","1","4.5","0.4"
"Kirschtomaten gelb","🍅","Gemüse","1.99","250g","18","0.9","3.5","0.2"
"Fleischtomate","🍅","Gemüse","1.49","500g","18","0.9","3.5","0.2"
"Eiertomaten","🍅","Gemüse","1.79","500g","18","0.9","3.5","0.2"
"Schalotten","🧅","Gemüse","1.29","500g","72","2.5","17","0.1"
"Bärlauch","🌿","Gemüse","1.99","100g","30","2.4","2.5","0.7"
"Brunnenkresse","🥗","Gemüse","1.49","100g","32","2.6","4.4","0.7"
"Schwarzwurzel","🥕","Gemüse","1.49","500g","61","2","12","0.5"
"Pastinaken","🥕","Gemüse","1.49","500g","75","1.3","17","0.3"
"Maiskolben","🌽","Gemüse","0.99","Stück","86","3.3","18","1.4"
"Cox Orange Apfel","🍎","Obst","2.49","1kg","52","0.3","13","0.2"
"Granny Smith","🍏","Obst","2.49","1kg","52","0.3","13","0.2"
"Braeburn Apfel","🍎","Obst","2.49","1kg","52","0.3","13","0.2"
"Elstar Apfel","🍎","Obst","2.29","1kg","52","0.3","13","0.2"
"Conference Birne","🍐","Obst","1.99","1kg","57","0.4","14","0.1"
"Williams Birne","🍐","Obst","2.29","1kg","57","0.4","14","0.1"
"Mirabellen","🍑","Obst","2.49","500g","53","0.8","12","0.2"
"Renekloden","🍑","Obst","2.49","500g","44","0.6","10","0.2"
"Süßkirschen","🍒","Obst","4.99","500g","63","1.1","14","0.2"
"Weintrauben kernlos","🍇","Obst","3.49","500g","67","0.6","17","0.3"
"Kumquats","🍊","Obst","2.99","250g","71","1.9","16","0.9"
"Kaki","🍅","Obst","1.29","Stück","70","0.6","18","0.2"
"Tamarinde","🍈","Obst","2.99","200g","239","2.8","63","0.6"
"Guave","🍈","Obst","1.49","Stück","68","2.6","14","1"
"Jackfrucht","🍈","Obst","4.99","Stück","95","1.7","23","0.6"
"Rambutan","🍈","Obst","3.99","250g","75","0.9","21","0.2"
"Karambole","🌟","Obst","1.99","Stück","31","1","6.7","0.3"
"Mangostane","🍈","Obst","4.99","250g","73","0.4","18","0.6"
"Quitte","🍐","Obst","1.49","Stück","57","0.4","15","0.1"
"Holunder","🫐","Obst","1.99","250g","73","0.7","15","0.5"
"Preiselbeeren","🫐","Obst","2.49","250g","30","0.4","7.6","0.1"
"Heidelbeeren","🫐","Obst","2.99","250g","57","0.7","14","0.3"
"Açaí","🫐","Obst","3.99","200g","70","1","4","5"
"Speisequark","🍦","Milch","0.99","500g","67","13","3.2","0.2"
"Joghurt Früchte","🍮","Milch","0.49","150g","95","3.5","14","3"
"Cheddar","🧀","Milch","2.49","200g","402","25","0.5","34"
"Gorgonzola","🧀","Milch","2.99","150g","360","20","0.5","31"
"Roquefort","🧀","Milch","3.99","100g","369","22","0.5","32"
"Manchego","🧀","Milch","3.99","200g","395","25","0.5","33"
"Mozarella geraspelt","🧀","Milch","1.49","150g","248","18","0.5","20"
"Gruyère","🧀","Milch","2.99","200g","413","30","0.5","32"
"Appenzeller","🧀","Milch","2.99","200g","385","27","0.5","31"
"Raclette Käse","🧀","Milch","3.49","400g","355","24","0.5","29"
"Bärlauch Frischkäse","🧀","Milch","1.79","150g","200","6","4","18"
"Kräuterfrischkäse","🧀","Milch","1.29","200g","190","6.5","3.5","17"
"Schnittkäse Scheib.","🧀","Milch","1.99","200g","356","24","0.5","29"
"Milchschnitte","🍦","Milch","1.99","Packung","295","7.5","36","12"
"Joghurt Stracciatella","🍮","Milch","0.49","150g","110","3.5","15","4.5"
"Pflanzencreme","🥛","Milch","1.29","200ml","180","0.5","5","18"
"Dinkelnudeln","🍝","Grundnahrung","1.99","500g","340","13","66","2.5"
"Vollkornnudeln","🍝","Grundnahrung","1.79","500g","333","14","64","2.5"
"Gnocchi","🍝","Grundnahrung","1.49","500g","170","4","33","2"
"Spätzle","🍝","Grundnahrung","1.29","500g","350","11","68","3.5"
"Mie Nudeln","🍜","Grundnahrung","1.49","250g","350","10","72","1.5"
"Reisnudeln","🍜","Grundnahrung","1.79","250g","360","6","81","0.4"
"Glasnudeln","🍜","Grundnahrung","1.49","200g","351","0.2","87","0.1"
"Soba Nudeln","🍜","Grundnahrung","2.49","250g","343","14","70","1"
"Udon Nudeln","🍜","Grundnahrung","1.99","200g","132","3.8","27","0.7"
"Parboiled Reis","🍚","Grundnahrung","1.99","1kg","358","8","76","0.5"
"Klebreis","🍚","Grundnahrung","2.49","500g","350","6.5","78","0.5"
"Dinkelkörner","🌾","Grundnahrung","1.99","500g","338","14","65","2.5"
"Weizenkleie","🌾","Grundnahrung","1.49","500g","216","14","50","5"
"Leinsamenöl","🫙","Grundnahrung","4.99","250ml","884","0","0","100"
"Tahin","🫙","Grundnahrung","2.99","250g","595","17","21","54"
"Nussmilch","🥛","Grundnahrung","2.49","1L","30","1","3.5","1.5"
"Erbsenprotein","🫘","Grundnahrung","9.99","500g","370","80","4","6"
"Whey Protein","🥛","Grundnahrung","14.99","500g","370","78","5","6"
"Sojaprotein","🫘","Grundnahrung","7.99","500g","371","80","2","6"
"Hirse gepufft","🌾","Grundnahrung","2.49","200g","378","11","73","4.2"
"Amaranth gepufft","🌾","Grundnahrung","2.99","200g","374","14","64","7"
"Tortilla Chips","🌽","Grundnahrung","1.49","200g","491","7","68","22"
"Nachos","🌽","Grundnahrung","1.49","200g","491","7","68","22"
"Sauerteig Starter","🌾","Grundnahrung","3.99","Glas","120","4","22","0.5"
"Cashewmus","🌰","Grundnahrung","6.99","250g","553","18","33","44"
"Kokosmehl","🥥","Grundnahrung","3.99","500g","440","20","20","14"
"Mandelmehl","🌰","Grundnahrung","6.99","500g","571","21","21","49"
"Tapioka","🌾","Grundnahrung","2.49","500g","358","0.2","89","0"
"Pfeilwurzelmehl","🌾","Grundnahrung","2.99","200g","357","0.3","88","0.1"
"Johannisbrotmehl","🌾","Grundnahrung","3.49","200g","180","4.6","89","0.7"
"Flohsamenpulver","🌾","Grundnahrung","7.99","250g","179","1.9","64","0.5"
"Reiswaffelteig","🌾","Grundnahrung","1.99","400g","385","7","81","2.5"
"Puffmais","🍿","Grundnahrung","1.49","150g","387","8","74","9"
"Naan-Mehl","🌾","Grundnahrung","1.49","500g","339","10","70","1"
"Bolognese Soße","🍝","Soßen","1.29","350g","95","5","8","5"
"Tomatenpesto","🫙","Soßen","1.99","190g","295","4.5","14","25"
"Basilikum Pesto","🫙","Soßen","1.99","190g","434","7","5","44"
"Bechamelsoße","🫙","Soßen","0.99","400g","85","2.5","8.5","4.5"
"Bratensoße","🫙","Soßen","0.89","400g","30","1.5","4","0.8"
"Barbecue Soße","🫙","Soßen","1.49","400g","150","1.5","36","0.5"
"Teriyaki Soße","🫙","Soßen","1.99","200ml","120","3.5","27","0.3"
"Hoisin Soße","🫙","Soßen","1.99","200ml","220","4","50","1"
"Süßsauer Soße","🫙","Soßen","1.29","200ml","150","0.5","38","0.1"
"Curry Soße","🫙","Soßen","1.49","400g","95","2.5","12","4"
"Kokossoße Curry","🫙","Soßen","2.49","400ml","130","2.5","8","10"
"Tzatziki","🫙","Soßen","1.49","200g","98","5.5","3.5","7.5"
"Hummus","🫙","Soßen","1.99","200g","180","7","18","9"
"Guacamole","🥑","Soßen","1.99","150g","143","1.5","4.5","14"
"Salsa","🫙","Soßen","1.49","400g","35","1.5","7","0.3"
"Mayonnaise Tube","🫙","Soßen","0.99","200ml","680","1.5","3.5","74"
"Salatdressing","🫙","Soßen","1.29","250ml","180","0.5","12","14"
"Hollandaise","🫙","Soßen","1.49","250ml","350","2.5","3.5","36"
"Aioli","🫙","Soßen","1.49","200g","480","1.5","4","52"
"Romesco","🫙","Soßen","2.49","200g","250","4.5","15","20"
"Backschokolade","🍫","Backen","1.49","100g","540","5","56","34"
"Marzipan Rohmasse","🍬","Backen","2.49","200g","449","9","50","27"
"Weiße Schokolade","🍫","Backen","0.99","100g","539","6","59","32"
"Schokodrops","🍫","Backen","1.99","200g","540","5","56","34"
"Kakaobutter","🧈","Backen","5.99","200g","900","0","0","100"
"Lebkuchengewürz","🫙","Backen","0.99","15g","280","8","60","10"
"Vanillearoma","🫙","Backen","0.79","38ml","250","0","62","0"
"Rum Aroma","🫙","Backen","0.79","38ml","250","0","62","0"
"Zuckerstreusel","🍬","Backen","0.99","100g","393","0.5","97","1"
"Fondant","🍬","Backen","3.99","250g","390","0.5","96","1.5"
"Gelatine","🫙","Backen","0.79","9 Bl.","338","84","0","0"
"Agar Agar","🫙","Backen","2.99","30g","262","0.5","77","0"
"Rosinen","🍇","Backen","1.49","250g","299","3","79","0.4"
"Cranberries getr.","🫐","Backen","2.49","200g","325","0.1","83","1.4"
"Aprikosen getr.","🍑","Backen","2.49","200g","241","3.4","63","0.5"
"Pflaumen getr.","🍇","Backen","1.99","200g","240","2.2","64","0.4"
"Feigen getrocknet","🍈","Backen","2.49","200g","249","3.5","63","0.9"
"Sultaninen","🍇","Backen","1.49","250g","299","3","79","0.4"
"Tonic Water","🥤","Getränke","0.99","1L","35","0","9","0"
"Ginger Beer","🥤","Getränke","1.49","330ml","40","0","10","0"
"Bitter Lemon","🥤","Getränke","0.99","1L","38","0","9.5","0"
"Apfelschorle","🥤","Getränke","0.79","1L","24","0.1","6","0.1"
"Multivitamin Schor.","🥤","Getränke","0.79","1L","26","0.3","6.5","0.1"
"Malzbier","🍺","Getränke","0.89","500ml","54","0.7","12","0"
"Alkoholfreies Bier","🍺","Getränke","0.79","500ml","21","0.5","4.2","0"
"Cider","🍎","Getränke","1.49","500ml","44","0","4.6","0"
"Hugo Sirup","🥂","Getränke","2.99","500ml","280","0","70","0"
"Holunderblütensirup","🌸","Getränke","2.49","500ml","283","0","71","0"
"Cassis Sirup","🍇","Getränke","2.49","500ml","280","0","70","0"
"Matcha Pulver","🍵","Getränke","5.99","50g","324","25","39","6"
"Chai Gewürzmischung","🍵","Getränke","2.99","50g","300","12","55","5"
"Kakao roh","🍫","Getränke","4.99","250g","228","20","14","11"
"Johannisbeernektar","🍇","Getränke","1.49","1L","58","0.3","14","0.1"
"Tomatensaft würzig","🍅","Getränke","1.29","1L","17","0.8","3","0.1"
"Rote Bete Saft","🥤","Getränke","1.99","700ml","43","1.5","9.6","0.1"
"Karotten Saft","🥤","Getränke","1.29","700ml","39","0.9","8.8","0.2"
"Pralinen","🍫","Süßes","5.99","200g","510","5","55","31"
"Marzipankartoffeln","🍬","Süßes","2.99","200g","449","9","50","27"
"Fruchtgummi","🍬","Süßes","1.29","200g","340","6.5","76","0.1"
"Lakritz","🍬","Süßes","1.29","200g","320","4.5","75","1"
"Weingummi","🍬","Süßes","1.29","200g","340","6","76","0.2"
"Kaubonbons","🍬","Süßes","1.29","200g","380","2","86","5"
"Bonbons","🍬","Süßes","0.99","200g","360","0.5","90","0.5"
"Lollipop","🍭","Süßes","0.29","Stück","367","0","92","0"
"Kaugummi","🍬","Süßes","0.79","Pack.","200","0","50","0"
"Schokolade weiß","🍫","Süßes","0.89","100g","539","6","59","32"
"Nussschokolade","🍫","Süßes","0.99","100g","545","8.5","54","34"
"Krokant","🍫","Süßes","1.99","150g","500","7","65","25"
"Florentiner","🍪","Süßes","2.49","100g","450","5","63","22"
"Dominosteine","🍪","Süßes","1.99","400g","375","3.5","77","8.5"
"Lebkuchen","🍪","Süßes","1.99","200g","378","4.5","79","6.5"
"Zimtsterne","🍪","Süßes","2.99","200g","444","10","66","18"
"Vanillekipferl","🍪","Süßes","2.49","200g","490","7","62","26"
"Einweghandschuhe","🧤","Haushalt","2.99","20 St.","","","",""
"Klarsichtfolie","🧻","Haushalt","1.49","Rolle","","","",""
"Gefrierbeutel","🛍️","Haushalt","1.49","25 St.","","","",""
"Reißverschlussbeutel","🛍️","Haushalt","1.99","25 St.","","","",""
"Bratpfanne Spray","🫙","Haushalt","2.49","300ml","","","",""
"WC-Reiniger","🧴","Haushalt","1.29","500ml","","","",""
"Badreiniger","🧴","Haushalt","1.49","500ml","","","",""
"Glasreiniger","🧴","Haushalt","1.49","500ml","","","",""
"Entrußmittel","🧴","Haushalt","1.99","500ml","","","",""
"Entkalker","🧴","Haushalt","1.99","500ml","","","",""
"Streichhölzer","🔥","Haushalt","0.39","Pack.","","","",""
"Kerzen","🕯️","Haushalt","1.99","Pack.","","","",""
"Batterien AA","🔋","Haushalt","2.99","4 St.","","","",""
"Taschenlampe","🔦","Haushalt","4.99","Stück","","","",""
"Briefumschläge","✉️","Haushalt","1.49","25 St.","","","",""
"Klebeband","📦","Haushalt","0.99","Rolle","","","",""
"Bio Haferflocken","🌾","Bio","2.49","500g","357","13","61","7"
"Bio Vollmilch","🥛","Bio","1.49","1L","64","3.4","4.7","3.5"
"Bio Joghurt","🍮","Bio","1.49","500g","59","3.5","4.7","3.6"
"Bio Butter","🧈","Bio","2.49","250g","740","0.7","0.5","83"
"Bio Eier","🥚","Bio","3.99","6 St.","155","13","0.7","11"
"Bio Karotten","🥕","Bio","1.49","1kg","41","0.9","9.7","0.2"
"Bio Bananen","🍌","Bio","1.99","1kg","89","1.1","23","0.2"
"Bio Äpfel","🍎","Bio","2.99","1kg","52","0.3","13","0.2"
"Bio Tomaten","🍅","Bio","2.49","500g","18","0.9","3.5","0.2"
"Bio Hähnchen","🍗","Bio","8.99","1kg","165","19","0","9.7"
"Bio Lachsfilet","🐟","Bio","9.99","300g","208","20","0","13"
"Bio Quinoa","🌾","Bio","5.99","400g","368","14","64","6.1"
"Bio Hanfprotein","🌿","Bio","9.99","500g","356","50","12","11"
"Spirulina Pulver","🌿","Bio","9.99","100g","290","57","24","8"
"Chlorella Pulver","🌿","Bio","9.99","100g","410","60","13","11"
"Moringa Pulver","🌿","Bio","7.99","150g","317","27","38","2"
"Edamer","🧀","Milch","1.89","200g","314","27","0","23"
"Appenzeller","🧀","Milch","2.29","150g","387","27","0","29"
"Raclette Käse","🧀","Milch","2.79","200g","363","25","0","28"
"Hüttenkäse","🧀","Milch","1.19","200g","99","11","3.5","4.3"
"Ricotta","🧀","Milch","1.49","250g","174","11","3","13"
"Burrata","🧀","Milch","2.99","125g","271","14","2","23"
"Kochkäse","🧀","Milch","0.99","200g","155","18","2.5","8"
"Frischkäse Kräuter","🧀","Milch","1.29","150g","175","7.5","2.8","15"
"Saure Sahne","🥛","Milch","0.79","200g","125","2.5","3.5","12"
"Crème fraîche","🥛","Milch","0.99","200g","275","2.2","3.5","27"
"Buttermilch","🥛","Milch","0.69","500ml","35","3.3","4","0.5"
"Kefir","🥛","Milch","0.99","500g","65","3.3","4.5","3.5"
"Trinkjoghurt","🥛","Milch","0.89","500ml","62","3.5","7.5","1.5"
"Kondensmilch","🥛","Milch","0.79","340g","136","7","20","3.4"
"Ziegenmilch","🥛","Milch","1.99","1L","70","3.6","4.5","4.1"
"Hafermilch Barista","🥛","Milch","1.99","1L","80","1.2","15","1.5"
"Mandelmilch","🥛","Milch","1.99","1L","24","0.5","3.2","1"
"Kokosmilch Trinken","🥥","Milch","1.49","330ml","32","0.3","3.6","1.9"
"Schlagsahne","🥛","Milch","1.09","200ml","334","2.5","3.5","35"
"Putenschnitzel","🍗","Fleisch","4.99","400g","112","24","0","1.5"
"Putenstreifen","🍗","Fleisch","3.99","400g","107","24","0","1"
"Putenbrust ganz","🍗","Fleisch","6.99","600g","109","24","0","1.2"
"Hähnchenkeulen","🍗","Fleisch","3.49","1kg","185","19","0","12"
"Hähnchenschenkel","🍗","Fleisch","2.99","1kg","181","20","0","11"
"Hähnchenflügel","🍗","Fleisch","2.49","1kg","222","18","0","16"
"Entenbrust","🦆","Fleisch","8.99","350g","201","19","0","14"
"Gänsekeule","🦢","Fleisch","9.99","1kg","249","21","0","18"
"Lammkotelett","🐑","Fleisch","9.99","400g","282","22","0","21"
